Location,Year,Distance,Stroke,Relay?,Gender,Team,Athlete,Results,Rank
Tokyo,2020,100,Backstroke,0,Men,ROC,Evgeny Rylov,51.98,1
Tokyo,2020,100,Backstroke,0,Men,ROC,Kliment Kolesnikov,52,2
Tokyo,2020,100,Backstroke,0,Men,USA,Ryan Murphy,52.19,3
Tokyo,2020,100,Backstroke,0,Men,ITA,Thomas Ceccon,52.3,4
Tokyo,2020,100,Backstroke,0,Men,CHN,Jiayu Xu,52.51,4
Tokyo,2020,100,Backstroke,0,Men,ESP,Hugo Gonzalez De Oliveira,52.78,4
Tokyo,2020,100,Backstroke,0,Men,AUS,Mitchell Larkin,52.79,4
Tokyo,2020,100,Backstroke,0,Men,ROU,Robert Glinta,52.95,4
Tokyo,2020,100,Breaststroke,0,Men,GBR,Adam Peaty,57.37,1
Tokyo,2020,100,Breaststroke,0,Men,NED,Arno Kamminga,58,2
Tokyo,2020,100,Breaststroke,0,Men,ITA,Nicolo Martinenghi,58.33,3
Tokyo,2020,100,Breaststroke,0,Men,USA,Michael Andrew,58.84,4
Tokyo,2020,100,Breaststroke,0,Men,GBR,James Wilby,58.96,4
Tokyo,2020,100,Breaststroke,0,Men,CHN,Zibei Yan,58.99,4
Tokyo,2020,100,Breaststroke,0,Men,USA,Andrew Wilson,58.99,4
Tokyo,2020,100,Breaststroke,0,Men,BLR,Ilya Shymanovich,59.36,4
Tokyo,2020,100,Butterfly,0,Men,USA,Caeleb Dressel,49.45,1
Tokyo,2020,100,Butterfly,0,Men,HUN,Kristof Kristof Milak,49.68,2
Tokyo,2020,100,Butterfly,0,Men,SUI,Noe Ponti,50.74,3
Tokyo,2020,100,Butterfly,0,Men,ROC,Andrei Minakov,50.88,4
Tokyo,2020,100,Butterfly,0,Men,POL,Jakub Majerski,50.92,4
Tokyo,2020,100,Butterfly,0,Men,AUS,Matthew Temple,50.92,4
Tokyo,2020,100,Butterfly,0,Men,GUA,Luis Martinez,51.09,4
Tokyo,2020,100,Butterfly,0,Men,BUL,Josif Miladinov,51.49,4
Tokyo,2020,100,Freestyle,0,Men,USA,Caeleb Dressel,47.02,1
Tokyo,2020,100,Freestyle,0,Men,AUS,Kyle Chalmers,47.08,2
Tokyo,2020,100,Freestyle,0,Men,ROC,Kliment Kolesnikov,47.44,3
Tokyo,2020,100,Freestyle,0,Men,FRA,Maxime Grousset,47.72,4
Tokyo,2020,100,Freestyle,0,Men,KOR,Sunwoo Hwang,47.82,4
Tokyo,2020,100,Freestyle,0,Men,ITA,Alessandro Miressi,47.86,4
Tokyo,2020,100,Freestyle,0,Men,ROU,David Popovici,48.04,4
Tokyo,2020,100,Freestyle,0,Men,HUN,Nandor Nemeth,48.1,4
Tokyo,2020,1500,Freestyle,0,Men,USA,Robert Finke,14:39.7,1
Tokyo,2020,1500,Freestyle,0,Men,UKR,Mykhailo Romanchuk,14:40.7,2
Tokyo,2020,1500,Freestyle,0,Men,GER,Florian Wellbrock,14:40.9,3
Tokyo,2020,1500,Freestyle,0,Men,ITA,Gregorio Paltrinieri,14:45.0,4
Tokyo,2020,1500,Freestyle,0,Men,GBR,Daniel Jervis,14:55.5,4
Tokyo,2020,1500,Freestyle,0,Men,ROC,Kirill Martynychev,14:55.9,4
Tokyo,2020,1500,Freestyle,0,Men,AUT,Felix Auboeck,15:03.5,4
Tokyo,2020,1500,Freestyle,0,Men,UKR,Serhii Frolov,15:04.3,4
Tokyo,2020,200,Backstroke,0,Men,ROC,Evgeny Rylov,01:53.3,1
Tokyo,2020,200,Backstroke,0,Men,USA,Ryan Murphy,01:54.2,2
Tokyo,2020,200,Backstroke,0,Men,GBR,Luke Greenbank,01:54.7,3
Tokyo,2020,200,Backstroke,0,Men,USA,Bryce Mefford,01:55.5,4
Tokyo,2020,200,Backstroke,0,Men,HUN,Adam Telegdy,01:56.2,4
Tokyo,2020,200,Backstroke,0,Men,POL,Radoslaw Kawecki,01:56.4,4
Tokyo,2020,200,Backstroke,0,Men,JPN,Ryosuke Irie,01:57.3,4
Tokyo,2020,200,Backstroke,0,Men,ESP,Nicolas Garcia Saiz,01:59.1,4
Tokyo,2020,200,Breaststroke,0,Men,AUS,Izaac Stubblety-Cook,02:06.4,1
Tokyo,2020,200,Breaststroke,0,Men,NED,Arno Kamminga,02:07.0,2
Tokyo,2020,200,Breaststroke,0,Men,FIN,Matti Mattsson,02:07.1,3
Tokyo,2020,200,Breaststroke,0,Men,ROC,Anton Chupkov,02:07.2,4
Tokyo,2020,200,Breaststroke,0,Men,USA,Nic Fink,02:07.9,4
Tokyo,2020,200,Breaststroke,0,Men,GBR,James Wilby,02:08.2,4
Tokyo,2020,200,Breaststroke,0,Men,JPN,Ryuya Mura,02:08.4,4
Tokyo,2020,200,Breaststroke,0,Men,SWE,Erik Persson,02:08.9,4
Tokyo,2020,200,Butterfly,0,Men,HUN,Kristof Kristof Milak,01:51.3,1
Tokyo,2020,200,Butterfly,0,Men,JPN,Tomoru Honda,01:53.7,2
Tokyo,2020,200,Butterfly,0,Men,ITA,Federico Burdisso,01:54.5,3
Tokyo,2020,200,Butterfly,0,Men,HUN,Tamas Kenderesi,01:54.5,4
Tokyo,2020,200,Butterfly,0,Men,RSA,Chad Le Clos,01:54.9,4
Tokyo,2020,200,Butterfly,0,Men,BRA,Leonardo De Deus,01:55.2,4
Tokyo,2020,200,Butterfly,0,Men,USA,Gunnar Bentz,01:55.5,4
Tokyo,2020,200,Butterfly,0,Men,POL,Krzysztof Chmielewski,01:55.9,4
Tokyo,2020,200,Freestyle,0,Men,GBR,Tom Dean,01:44.2,1
Tokyo,2020,200,Freestyle,0,Men,GBR,Duncan Scott,01:44.3,2
Tokyo,2020,200,Freestyle,0,Men,BRA,Fernando Scheffer,01:44.7,3
Tokyo,2020,200,Freestyle,0,Men,ROU,David Popovici,01:44.7,4
Tokyo,2020,200,Freestyle,0,Men,ROC,Martin Malyutin,01:45.0,4
Tokyo,2020,200,Freestyle,0,Men,USA,Kieran Smith,01:45.1,4
Tokyo,2020,200,Freestyle,0,Men,KOR,Sunwoo Hwang,01:45.3,4
Tokyo,2020,200,Freestyle,0,Men,LTU,Danas Rapsys,01:45.8,4
Tokyo,2020,200,Individual medley,0,Men,CHN,Shun Wang,01:55.0,1
Tokyo,2020,200,Individual medley,0,Men,GBR,Duncan Scott,01:55.3,2
Tokyo,2020,200,Individual medley,0,Men,SUI,Jeremy Desplanches,01:56.2,3
Tokyo,2020,200,Individual medley,0,Men,JPN,Daiya Seto,01:56.2,4
Tokyo,2020,200,Individual medley,0,Men,USA,Michael Andrew,01:57.3,4
Tokyo,2020,200,Individual medley,0,Men,JPN,Kosuke Hagino,01:57.5,4
Tokyo,2020,200,Individual medley,0,Men,HUN,Laszlo Cseh,01:57.7,4
Tokyo,2020,200,Individual medley,0,Men,NZL,Lewis Clareburt,01:57.7,4
Tokyo,2020,400,Freestyle,0,Men,TUN,Ahmed Hafnaoui,03:43.4,1
Tokyo,2020,400,Freestyle,0,Men,AUS,Jack Mcloughlin,03:43.5,2
Tokyo,2020,400,Freestyle,0,Men,USA,Kieran Smith,03:43.9,3
Tokyo,2020,400,Freestyle,0,Men,GER,Henning Bennet Muhlleitner,03:44.1,4
Tokyo,2020,400,Freestyle,0,Men,AUT,Felix Auboeck,03:44.1,4
Tokyo,2020,400,Freestyle,0,Men,ITA,Gabriele Detti,03:44.9,4
Tokyo,2020,400,Freestyle,0,Men,AUS,Elijah Winnington,03:45.2,4
Tokyo,2020,400,Freestyle,0,Men,USA,Jake Mitchell,03:45.4,4
Tokyo,2020,400,Individual medley,0,Men,USA,Chase Kalisz,04:09.4,1
Tokyo,2020,400,Individual medley,0,Men,USA,Jay Litherland,04:10.3,2
Tokyo,2020,400,Individual medley,0,Men,AUS,Brendon Smith,04:10.4,3
Tokyo,2020,400,Individual medley,0,Men,HUN,David Verraszto,04:10.6,4
Tokyo,2020,400,Individual medley,0,Men,GBR,Max Litchfield,04:10.6,4
Tokyo,2020,400,Individual medley,0,Men,FRA,Leon Marchand,04:11.2,4
Tokyo,2020,400,Individual medley,0,Men,NZL,Lewis Clareburt,04:11.2,4
Tokyo,2020,400,Individual medley,0,Men,ITA,Alberto Razzetti,04:11.3,4
Tokyo,2020,50,Freestyle,0,Men,USA,Caeleb Dressel,21.07,1
Tokyo,2020,50,Freestyle,0,Men,FRA,Florent Manaudou,21.55,2
Tokyo,2020,50,Freestyle,0,Men,BRA,Bruno Fratus,21.57,3
Tokyo,2020,50,Freestyle,0,Men,USA,Michael Andrew,21.6,4
Tokyo,2020,50,Freestyle,0,Men,GBR,Ben Proud,21.72,4
Tokyo,2020,50,Freestyle,0,Men,GRE,Kristian Gkolomeev,21.72,4
Tokyo,2020,50,Freestyle,0,Men,ITA,Lorenzo Zazzeri,21.78,4
Tokyo,2020,50,Freestyle,0,Men,NED,Thom De Boer,21.79,4
Tokyo,2020,800,Freestyle,0,Men,USA,Robert Finke,07:41.9,1
Tokyo,2020,800,Freestyle,0,Men,ITA,Gregorio Paltrinieri,07:42.1,2
Tokyo,2020,800,Freestyle,0,Men,UKR,Mykhailo Romanchuk,07:42.3,3
Tokyo,2020,800,Freestyle,0,Men,GER,Florian Wellbrock,07:42.7,4
Tokyo,2020,800,Freestyle,0,Men,AUS,Jack Mcloughlin,07:45.0,4
Tokyo,2020,800,Freestyle,0,Men,UKR,Serhii Frolov,07:45.1,4
Tokyo,2020,800,Freestyle,0,Men,AUT,Felix Auboeck,07:49.1,4
Tokyo,2020,800,Freestyle,0,Men,BRA,Guilherme Costa,07:53.3,4
Tokyo,2020,100,Backstroke,0,Women,AUS,Kaylee Mckeown,57.47,1
Tokyo,2020,100,Backstroke,0,Women,CAN,Kylie Masse,57.72,2
Tokyo,2020,100,Backstroke,0,Women,USA,Regan Smith,58.05,3
Tokyo,2020,100,Backstroke,0,Women,USA,Rhyan Elizabeth White,58.43,4
Tokyo,2020,100,Backstroke,0,Women,AUS,Emily Seebohm,58.45,4
Tokyo,2020,100,Backstroke,0,Women,GBR,Kathleen Dawson,58.7,4
Tokyo,2020,100,Backstroke,0,Women,NED,Kira Toussaint,59.11,4
Tokyo,2020,100,Backstroke,0,Women,ISR,Anastasya Gorbenko,59.53,4
Tokyo,2020,100,Breaststroke,0,Women,USA,Lydia Jacoby,01:04.9,1
Tokyo,2020,100,Breaststroke,0,Women,RSA,Tatjana Schoenmaker,01:05.2,2
Tokyo,2020,100,Breaststroke,0,Women,USA,Lilly King,01:05.5,3
Tokyo,2020,100,Breaststroke,0,Women,ROC,Evgeniia Chikunova,01:05.9,4
Tokyo,2020,100,Breaststroke,0,Women,ROC,Yuliya Efimova,01:06.0,4
Tokyo,2020,100,Breaststroke,0,Women,SWE,Sophie Hansson,01:06.1,4
Tokyo,2020,100,Breaststroke,0,Women,ITA,Martina Carraro,01:06.2,4
Tokyo,2020,100,Breaststroke,0,Women,IRL,Mona Mc Sharry,01:06.9,4
Tokyo,2020,100,Butterfly,0,Women,CAN,Margaret Mac Neil,55.59,1
Tokyo,2020,100,Butterfly,0,Women,CHN,Yufei Zhang,55.64,2
Tokyo,2020,100,Butterfly,0,Women,AUS,Emma Mckeon,55.72,3
Tokyo,2020,100,Butterfly,0,Women,USA,Torri Huske,55.73,4
Tokyo,2020,100,Butterfly,0,Women,SWE,Louise Hansson,56.22,4
Tokyo,2020,100,Butterfly,0,Women,FRA,Marie Wattel,56.27,4
Tokyo,2020,100,Butterfly,0,Women,SWE,Sarah Sjoestroem,56.91,4
Tokyo,2020,100,Butterfly,0,Women,BLR,Anastasiya Shkurdai,57.05,4
Tokyo,2020,100,Freestyle,0,Women,AUS,Emma Mckeon,51.96,1
Tokyo,2020,100,Freestyle,0,Women,HKG,Siobhan Bernadette Haughey,52.27,2
Tokyo,2020,100,Freestyle,0,Women,AUS,Cate Campbell,52.52,3
Tokyo,2020,100,Freestyle,0,Women,CAN,Penny Oleksiak,52.59,4
Tokyo,2020,100,Freestyle,0,Women,SWE,Sarah Sjoestroem,52.68,4
Tokyo,2020,100,Freestyle,0,Women,NED,Femke Heemskerk,52.79,4
Tokyo,2020,100,Freestyle,0,Women,GBR,Anna Hopkin,52.83,4
Tokyo,2020,100,Freestyle,0,Women,USA,Abbey Weitzeil,53.23,4
Tokyo,2020,1500,Freestyle,0,Women,USA,Katie Ledecky,15:37.3,1
Tokyo,2020,1500,Freestyle,0,Women,USA,Erica Sullivan,15:41.4,2
Tokyo,2020,1500,Freestyle,0,Women,GER,Sarah Kohler,15:42.9,3
Tokyo,2020,1500,Freestyle,0,Women,CHN,Jianjiahe Wang,15:46.4,4
Tokyo,2020,1500,Freestyle,0,Women,ITA,Simona Quadarella,15:54.0,4
Tokyo,2020,1500,Freestyle,0,Women,AUS,Kiah Melverton,16:00.4,4
Tokyo,2020,1500,Freestyle,0,Women,ROC,Anastasiia Kirpichnikova,16:00.4,4
Tokyo,2020,1500,Freestyle,0,Women,AUS,Maddy Gough,16:05.8,4
Tokyo,2020,200,Backstroke,0,Women,AUS,Kaylee Mckeown,02:04.7,1
Tokyo,2020,200,Backstroke,0,Women,CAN,Kylie Masse,02:05.4,2
Tokyo,2020,200,Backstroke,0,Women,AUS,Emily Seebohm,02:06.2,3
Tokyo,2020,200,Backstroke,0,Women,USA,Rhyan Elizabeth White,02:06.4,4
Tokyo,2020,200,Backstroke,0,Women,USA,Phoebe Bacon,02:06.4,4
Tokyo,2020,200,Backstroke,0,Women,CAN,Taylor Madison Ruck,02:08.2,4
Tokyo,2020,200,Backstroke,0,Women,CHN,Xuwei Peng,02:08.3,4
Tokyo,2020,200,Backstroke,0,Women,CHN,Yaxin Liu,02:08.5,4
Tokyo,2020,200,Breaststroke,0,Women,RSA,Tatjana Schoenmaker,02:18.9,1
Tokyo,2020,200,Breaststroke,0,Women,USA,Lilly King,02:19.9,2
Tokyo,2020,200,Breaststroke,0,Women,USA,Annie Lazor,02:20.8,3
Tokyo,2020,200,Breaststroke,0,Women,ROC,Evgeniia Chikunova,02:20.9,4
Tokyo,2020,200,Breaststroke,0,Women,RSA,Kaylene Corbett,02:22.1,4
Tokyo,2020,200,Breaststroke,0,Women,GBR,Molly Renshaw,02:22.7,4
Tokyo,2020,200,Breaststroke,0,Women,GBR,Abbie Wood,02:23.7,4
Tokyo,2020,200,Breaststroke,0,Women,BEL,Fanny Lecluyse,02:24.6,4
Tokyo,2020,200,Butterfly,0,Women,CHN,Yufei Zhang,02:03.9,1
Tokyo,2020,200,Butterfly,0,Women,USA,Regan Smith,02:05.3,2
Tokyo,2020,200,Butterfly,0,Women,USA,Hali Flickinger,02:05.6,3
Tokyo,2020,200,Butterfly,0,Women,HUN,Boglarka Kapas,02:06.5,4
Tokyo,2020,200,Butterfly,0,Women,ROC,Svetlana Chimrova,02:07.7,4
Tokyo,2020,200,Butterfly,0,Women,CHN,Liyan Yu,02:07.8,4
Tokyo,2020,200,Butterfly,0,Women,GBR,Alys Margaret Thomas,02:07.9,4
Tokyo,2020,200,Butterfly,0,Women,AUS,Brianna Throssell,02:09.5,4
Tokyo,2020,200,Freestyle,0,Women,AUS,Ariarne Titmus,01:53.5,1
Tokyo,2020,200,Freestyle,0,Women,HKG,Siobhan Bernadette Haughey,01:53.9,2
Tokyo,2020,200,Freestyle,0,Women,CAN,Penny Oleksiak,01:54.7,3
Tokyo,2020,200,Freestyle,0,Women,CHN,Junxuan Yang,01:55.0,4
Tokyo,2020,200,Freestyle,0,Women,USA,Katie Ledecky,01:55.2,4
Tokyo,2020,200,Freestyle,0,Women,CZE,Barbora Seemanova,01:55.5,4
Tokyo,2020,200,Freestyle,0,Women,ITA,Federica Pellegrini,01:55.9,4
Tokyo,2020,200,Freestyle,0,Women,AUS,Madison Wilson,01:56.4,4
Tokyo,2020,200,Individual medley,0,Women,JPN,Yui Ohashi,02:08.5,1
Tokyo,2020,200,Individual medley,0,Women,USA,Alex Walsh,02:08.7,2
Tokyo,2020,200,Individual medley,0,Women,USA,Kate Douglass,02:09.0,3
Tokyo,2020,200,Individual medley,0,Women,GBR,Abbie Wood,02:09.1,4
Tokyo,2020,200,Individual medley,0,Women,CHN,Yiting Yu,02:09.6,4
Tokyo,2020,200,Individual medley,0,Women,CAN,Sydney Pickrem,02:10.0,4
Tokyo,2020,200,Individual medley,0,Women,HUN,Katinka Hosszu,02:12.4,4
Tokyo,2020,200,Individual medley,0,Women,GBR,Alicia Wilson,02:12.9,4
Tokyo,2020,400,Freestyle,0,Women,AUS,Ariarne Titmus,03:56.7,1
Tokyo,2020,400,Freestyle,0,Women,USA,Katie Ledecky,03:57.4,2
Tokyo,2020,400,Freestyle,0,Women,CHN,Bingjie Li,04:01.1,3
Tokyo,2020,400,Freestyle,0,Women,CAN,Summer Mcintosh,04:02.4,4
Tokyo,2020,400,Freestyle,0,Women,CHN,Muhan Tang,04:04.1,4
Tokyo,2020,400,Freestyle,0,Women,GER,Isabel Gose,04:05.0,4
Tokyo,2020,400,Freestyle,0,Women,USA,Paige Madden,04:06.8,4
Tokyo,2020,400,Freestyle,0,Women,NZL,Erika Fairweather,04:08.0,4
Tokyo,2020,400,Freestyle,0,Women,AUS,Ariarne Titmus,03:56.7,1
Tokyo,2020,400,Freestyle,0,Women,USA,Katie Ledecky,03:57.4,2
Tokyo,2020,400,Freestyle,0,Women,CHN,Bingjie Li,04:01.1,3
Tokyo,2020,400,Freestyle,0,Women,CAN,Summer Mcintosh,04:02.4,4
Tokyo,2020,400,Freestyle,0,Women,CHN,Muhan Tang,04:04.1,4
Tokyo,2020,400,Freestyle,0,Women,GER,Isabel Gose,04:05.0,4
Tokyo,2020,400,Freestyle,0,Women,USA,Paige Madden,04:06.8,4
Tokyo,2020,400,Freestyle,0,Women,NZL,Erika Fairweather,04:08.0,4
Tokyo,2020,50,Freestyle,0,Women,AUS,Emma Mckeon,23.81,1
Tokyo,2020,50,Freestyle,0,Women,SWE,Sarah Sjoestroem,24.07,2
Tokyo,2020,50,Freestyle,0,Women,DEN,Pernille Blume,24.21,3
Tokyo,2020,50,Freestyle,0,Women,NED,Ranomi Kromowidjojo,24.3,4
Tokyo,2020,50,Freestyle,0,Women,POL,Katarzyna Wasick,24.32,4
Tokyo,2020,50,Freestyle,0,Women,CHN,Qingfeng Wu,24.32,4
Tokyo,2020,50,Freestyle,0,Women,AUS,Cate Campbell,24.36,4
Tokyo,2020,50,Freestyle,0,Women,USA,Abbey Weitzeil,24.41,4
Tokyo,2020,800,Freestyle,0,Women,USA,Katie Ledecky,08:12.6,1
Tokyo,2020,800,Freestyle,0,Women,AUS,Ariarne Titmus,08:13.8,2
Tokyo,2020,800,Freestyle,0,Women,ITA,Simona Quadarella,08:18.3,3
Tokyo,2020,800,Freestyle,0,Women,USA,Katie Grimes,08:19.4,4
Tokyo,2020,800,Freestyle,0,Women,CHN,Jianjiahe Wang,08:21.9,4
Tokyo,2020,800,Freestyle,0,Women,AUS,Kiah Melverton,08:22.2,4
Tokyo,2020,800,Freestyle,0,Women,GER,Sarah Kohler,08:24.6,4
Tokyo,2020,800,Freestyle,0,Women,ROC,Anastasiia Kirpichnikova,08:26.3,4
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
